date,o,h,l,close,vol
2007/12/26,13.44,13.49,13.36,13.47,2354
2007/12/27,13.47,13.70,13.47,13.62,10964
2007/12/28,13.67,13.74,13.60,13.71,9327
2007/12/31,13.76,13.95,13.76,13.94,3441
2008/01/02,13.92,14.00,13.76,13.79,3825
2008/01/03,13.59,13.63,13.52,13.60,3152
2008/01/04,13.43,13.63,13.41,13.63,1544
2008/01/07,13.41,13.60,13.38,13.41,5392
2008/01/08,13.44,13.60,13.43,13.58,2480
2008/01/09,13.52,13.71,13.49,13.69,1971
2008/01/10,13.80,13.84,13.73,13.79,2394
2008/01/11,13.84,13.84,13.76,13.82,2795
2008/01/14,13.92,13.95,13.72,13.87,2800
2008/01/15,13.92,14.22,13.87,14.04,6143
2008/01/16,13.92,13.92,13.67,13.79,3914
2008/01/17,13.82,13.84,13.28,13.41,3525
2008/01/18,13.23,13.41,13.10,13.41,3826
2008/01/21,13.39,13.41,13.32,13.33,1101
2008/01/22,12.85,12.85,12.40,12.58,4992
2008/01/23,12.72,12.72,12.31,12.32,3236
2008/01/24,12.58,12.64,12.40,12.54,1651
2008/01/25,12.68,12.74,12.55,12.74,2083
2008/01/28,12.58,12.58,12.26,12.26,2591
2008/01/29,12.38,12.43,12.11,12.17,1571
2008/01/30,12.18,12.37,12.17,12.18,1312
2008/01/31,12.18,12.26,12.10,12.17,719
2008/02/01,12.32,12.37,12.31,12.34,710
2008/02/12,12.21,12.32,12.21,12.27,654
2008/02/13,12.39,12.39,12.20,12.21,767
2008/02/14,12.39,12.64,12.32,12.58,1292
2008/02/15,12.50,12.61,12.42,12.58,980
2008/02/18,12.66,12.73,12.63,12.67,694
2008/02/19,12.74,12.84,12.73,12.81,729
2008/02/20,12.80,12.84,12.67,12.67,815
2008/02/21,12.69,12.76,12.68,12.74,1323
2008/02/22,12.72,12.74,12.62,12.74,756
2008/02/25,12.85,12.99,12.82,12.99,1184
2008/02/26,13.12,13.33,12.99,13.12,1444
2008/02/27,13.28,13.28,13.12,13.15,915
2008/02/29,13.17,13.27,13.05,13.25,925
2008/03/03,12.86,13.19,12.85,13.19,677
2008/03/04,13.19,13.39,13.18,13.37,888
2008/03/05,13.37,13.44,13.35,13.39,1242
2008/03/06,13.47,13.65,13.47,13.65,2234
2008/03/07,13.39,13.73,13.39,13.55,1493
2008/03/10,13.52,13.54,13.36,13.37,767
2008/03/11,13.39,13.39,13.17,13.36,588
2008/03/12,13.60,13.60,13.39,13.45,1021
2008/03/13,13.45,13.45,13.22,13.32,482
2008/03/14,13.31,13.38,13.09,13.19,966
2008/03/17,12.80,13.01,12.69,12.96,2207
2008/03/18,13.12,13.12,12.69,12.99,2745
2008/03/19,13.09,13.17,12.99,13.01,1050
2008/03/20,12.96,13.17,12.96,13.17,401
2008/03/21,13.33,13.38,13.28,13.38,1137
2008/03/24,14.14,14.15,13.68,13.81,4781
2008/03/25,13.82,13.87,13.65,13.77,2634
2008/03/26,13.76,13.87,13.73,13.76,2185
2008/03/27,13.65,13.76,13.52,13.53,961
2008/03/28,13.49,13.78,13.49,13.78,1250
2008/03/31,13.78,13.79,13.63,13.65,970
2008/04/01,13.65,13.71,13.63,13.63,778
2008/04/02,13.73,13.79,13.65,13.69,616
2008/04/03,13.67,13.68,13.64,13.65,651
2008/04/07,13.65,13.76,13.64,13.72,738
2008/04/08,13.72,13.76,13.68,13.71,797
2008/04/09,13.71,13.73,13.61,13.68,795
2008/04/10,13.63,13.82,13.63,13.79,1586
2008/04/11,13.82,14.01,13.80,13.91,2779
2008/04/14,13.91,14.04,13.82,14.01,1689
2008/04/15,14.01,14.11,14.01,14.06,1702
2008/04/16,14.12,14.35,14.12,14.32,2440
2008/04/17,14.45,14.46,14.35,14.36,4023
2008/04/18,14.36,14.36,14.14,14.27,1376
2008/04/21,14.31,14.38,14.24,14.24,1305
2008/04/22,14.14,14.31,14.14,14.30,1981
2008/04/23,14.19,14.28,14.14,14.24,1289
2008/04/24,14.24,14.33,14.20,14.24,1185
2008/04/25,14.24,14.37,14.24,14.27,2203
2008/04/28,14.30,14.35,14.20,14.32,1051
2008/04/29,14.36,14.36,14.19,14.19,1334
2008/04/30,14.14,14.19,14.06,14.08,876
2008/05/02,14.16,14.30,14.16,14.26,1121
2008/05/05,14.22,14.24,14.08,14.09,791
2008/05/06,14.08,14.08,14.00,14.06,377
2008/05/07,14.06,14.14,14.03,14.07,550
2008/05/08,14.07,14.07,13.98,14.06,292
2008/05/09,14.08,14.08,13.99,14.00,254
2008/05/12,13.41,13.98,13.41,13.95,899
2008/05/13,13.95,14.24,13.93,14.24,1082
2008/05/14,14.19,14.27,14.17,14.27,841
2008/05/15,14.29,14.48,14.29,14.44,2348
2008/05/16,14.46,14.67,14.45,14.50,2642
2008/05/19,14.54,14.73,14.54,14.73,2924
2008/05/20,14.83,14.83,14.35,14.51,2377
2008/05/21,14.34,14.46,14.24,14.40,624
2008/05/22,13.98,14.39,13.98,14.39,849
2008/05/23,14.35,14.35,14.12,14.13,455
