Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,61.15,61.15,60.45,60.55,7248000,60.55
2015-12-29,61.40,61.40,60.80,61.00,3950000,61.00
2015-12-28,61.70,61.70,61.40,61.45,3433000,61.45
2015-12-24,61.35,61.65,61.20,61.20,8431000,61.20
2015-12-23,60.95,61.30,60.80,60.90,7249000,60.90
2015-12-22,60.70,60.90,60.40,60.80,5131000,60.80
2015-12-21,60.05,60.75,59.90,60.65,4324000,60.65
2015-12-18,60.85,61.25,60.50,60.75,4856000,60.75
2015-12-17,60.55,61.05,60.35,61.05,7558000,61.05
2015-12-16,60.00,60.40,59.70,60.35,6502000,60.35
2015-12-15,59.70,60.05,59.35,59.45,6738000,59.45
2015-12-14,59.25,59.65,59.00,59.40,9502000,59.40
2015-12-11,60.55,60.70,59.80,59.85,13803000,59.85
2015-12-10,60.40,60.75,59.75,60.55,16590000,60.55
2015-12-09,61.20,61.35,60.70,60.75,15999000,60.75
2015-12-08,62.25,62.30,61.20,61.50,9101000,61.50
2015-12-07,62.20,63.00,62.20,62.50,14792000,62.50
2015-12-04,61.95,61.95,61.40,61.75,15030000,61.75
2015-12-03,61.90,62.55,61.70,62.40,6045000,62.40
2015-12-02,62.45,62.75,62.15,62.30,6337000,62.30
2015-12-01,61.70,62.45,61.45,62.40,8378000,62.40
2015-11-30,60.90,61.20,60.45,61.20,23234000,61.20
2015-11-27,62.90,62.90,61.80,61.95,6013000,61.95
2015-11-26,62.30,62.95,62.30,62.80,8620000,62.80
2015-11-25,61.85,62.10,61.50,61.95,5948000,61.95
2015-11-24,62.50,62.65,61.85,61.95,6584000,61.95
2015-11-23,62.60,62.75,62.15,62.60,3448000,62.60
2015-11-20,62.35,62.50,62.05,62.30,5406000,62.30
2015-11-19,61.95,62.30,61.55,62.30,10064000,62.30
2015-11-18,62.35,62.35,61.20,61.40,14873000,61.40
2015-11-17,62.00,62.60,62.00,62.35,8653000,62.35
2015-11-16,61.20,61.30,60.60,61.15,13390000,61.15
2015-11-13,61.80,62.45,61.55,61.60,20288000,61.60
2015-11-12,62.20,62.40,61.85,62.25,14189000,62.25
2015-11-11,62.90,63.00,61.95,62.15,16167000,62.15
2015-11-10,63.30,63.40,62.85,62.90,8816000,62.90
2015-11-09,64.00,64.35,63.60,63.65,5519000,63.65
2015-11-06,65.40,65.40,63.65,64.10,11815000,64.10
