丁,秨絃基,程蔼基,程基,Μ絃基,SMA3,SMA6,SMA12,SMA24,Θユ秖,MA2,MA5,DIF4-9,MACD3,OSC
2003/6/30,23.42,23.61,23.31,23.41,N/A,N/A,N/A,N/A,9930,N/A,N/A,N/A,N/A,N/A
2003/7/1,23.42,26.52,23.42,25.8,N/A,N/A,N/A,N/A,232262,121096,N/A,N/A,N/A,N/A
2003/8/1,26.06,28.36,25.05,28.36,25.86,N/A,N/A,N/A,122885,177574,N/A,N/A,N/A,N/A
2003/9/1,29.29,29.41,27.9,28.22,27.46,N/A,N/A,N/A,91391,107138,N/A,N/A,N/A,N/A
2003/10/1,28.1,30.94,27.82,30.3,28.96,N/A,N/A,N/A,149771,120581,121248,N/A,N/A,N/A
2003/11/3,30.3,30.79,28.41,28.41,28.98,27.42,N/A,N/A,83451,116611,135952,N/A,N/A,N/A
2003/12/1,28.41,29.54,28.35,28.99,29.23,28.35,N/A,N/A,90031,86741,107506,N/A,N/A,N/A
2004/1/2,29.13,31.26,28.99,30.63,29.34,29.15,N/A,N/A,120517,105274,107032,N/A,N/A,N/A
2004/2/2,30.64,31.95,29.8,31.91,30.51,29.74,N/A,N/A,102297,111407,109213,N/A,N/A,N/A
2004/3/1,32.07,33.9,28.09,30.93,31.16,30.2,N/A,N/A,266515,184406,132562,1.43,1.47,-0.04
2004/4/1,31.12,32.96,28.91,29.99,30.94,30.14,N/A,N/A,152580,209548,146388,1.14,1.31,-0.16
2004/5/3,29.74,29.74,25.9,28.63,29.85,30.18,28.8,N/A,138642,145611,156110,0.46,0.89,-0.42
2004/6/1,28.54,29.04,26.4,28.25,28.96,30.06,29.2,N/A,108010,123326,153609,0.05,0.47,-0.42
2004/7/1,28.35,28.44,25.82,26.46,27.78,29.36,29.26,N/A,102013,105012,153552,-0.39,0.04,-0.43
2004/8/2,26.32,29.04,26,28.5,27.74,28.79,29.27,N/A,95522,98768,119353,-0.32,-0.14,-0.18
2004/9/1,28.6,29.56,28.07,28.79,27.92,28.44,29.32,N/A,122527,109025,113343,-0.11,-0.12,0.02
2004/10/1,28.86,30.15,27.66,28.23,28.51,28.14,29.14,N/A,125548,124038,110724,-0.04,-0.08,0.04
2004/11/1,28.25,30.28,27.88,28.73,28.58,28.16,29.17,N/A,198613,162081,128845,0.06,-0.01,0.07
2004/12/1,28.67,30.66,28.54,30.62,29.19,28.56,29.31,N/A,157600,178107,139962,0.34,0.17,0.18
2005/1/3,30.59,30.67,28.48,29.73,29.69,29.1,29.23,N/A,102126,129863,141283,0.36,0.26,0.1
2005/2/1,29.74,30.94,29.62,30.7,30.35,29.47,29.13,N/A,136605,119366,144098,0.51,0.39,0.12
2005/3/1,30.75,30.9,29.11,29.51,29.98,29.59,29.01,N/A,162708,149657,151530,0.39,0.39,0
2005/4/1,29.45,29.62,27.72,28.9,29.7,29.7,28.92,N/A,105137,133923,132835,0.11,0.25,-0.14
2005/5/3,29.04,30,28.85,29.92,29.44,29.9,29.03,28.91,104200,104669,122155,0.14,0.2,-0.05
2005/6/1,29.84,31.85,29.58,31.22,30.01,30,29.28,29.24,201222,152711,141974,0.41,0.3,0.11
2005/7/1,31.09,32.54,30.77,31.67,30.94,30.32,29.71,29.48,151324,176273,144918,0.64,0.47,0.17
2005/8/1,31.62,32.77,30.58,30.7,31.2,30.32,29.89,29.58,138589,144957,140094,0.61,0.54,0.07
2005/9/2,31.12,31.57,30.11,31.19,31.19,30.6,30.09,29.7,116717,127653,142410,0.51,0.52,-0.02
2005/10/3,31.29,31.55,28.88,29.87,30.59,30.76,30.23,29.69,113796,115257,144330,0.22,0.37,-0.15
2005/11/1,29.98,32.24,29.84,32.07,31.04,31.12,30.51,29.84,169740,141768,138033,0.37,0.37,0
2005/12/1,32.07,33.92,31.88,33.69,31.88,31.53,30.76,30.04,168221,168981,141413,0.76,0.57,0.19
2006/1/2,33.36,35.01,33.1,33.76,33.17,31.88,31.1,30.17,121775,144998,138050,1.01,0.79,0.22
2006/2/3,34.05,35.04,33.82,34.45,33.97,32.51,31.41,30.27,68424,95100,128391,1.16,0.97,0.18
2006/3/1,34.41,35.83,33.13,34.71,34.31,33.09,31.85,30.43,61000,64712,117832,1.16,1.07,0.1
2006/4/3,34.71,37.5,34.61,37.34,35.5,34.34,32.55,30.74,54822,57911,94848,1.5,1.28,0.21
2006/5/2,37.34,38.98,34.64,35.1,35.72,34.84,32.98,31,123456,89139,85895,1.39,1.33,0.05
2006/6/1,35.01,35.7,32.47,34.91,35.78,35.05,33.29,31.28,189277,156367,99396,0.93,1.13,-0.2
2006/7/3,34.97,35.2,32.41,33.79,34.6,35.05,33.47,31.59,113442,151360,108399,0.5,0.82,-0.32
