date,o,h,l,close,vol
2007/12/26,14.21,14.26,14.12,14.23,2354
2007/12/27,14.23,14.48,14.23,14.39,10964
2007/12/28,14.45,14.52,14.38,14.49,9327
2007/12/31,14.55,14.74,14.55,14.74,3441
2008/01/02,14.72,14.80,14.55,14.57,3825
2008/01/03,14.36,14.40,14.29,14.38,3152
2008/01/04,14.19,14.40,14.18,14.40,1544
2008/01/07,14.18,14.38,14.14,14.18,5392
2008/01/08,14.21,14.38,14.19,14.35,2480
2008/01/09,14.29,14.49,14.26,14.47,1971
2008/01/10,14.59,14.62,14.52,14.57,2394
2008/01/11,14.62,14.62,14.55,14.60,2795
2008/01/14,14.72,14.74,14.51,14.66,2800
2008/01/15,14.72,15.03,14.66,14.84,6143
2008/01/16,14.72,14.72,14.45,14.57,3914
2008/01/17,14.61,14.63,14.04,14.17,3525
2008/01/18,13.98,14.18,13.84,14.18,3826
2008/01/21,14.15,14.18,14.08,14.09,1101
2008/01/22,13.58,13.58,13.10,13.30,4992
2008/01/23,13.45,13.45,13.01,13.02,3236
2008/01/24,13.30,13.36,13.10,13.25,1651
2008/01/25,13.40,13.47,13.27,13.47,2083
2008/01/28,13.30,13.30,12.96,12.96,2591
2008/01/29,13.09,13.14,12.80,12.86,1571
2008/01/30,12.88,13.07,12.86,12.87,1312
2008/01/31,12.87,12.96,12.79,12.86,719
2008/02/01,13.02,13.07,13.01,13.05,710
2008/02/12,12.90,13.02,12.90,12.97,654
2008/02/13,13.10,13.10,12.90,12.90,767
2008/02/14,13.09,13.36,13.02,13.30,1292
2008/02/15,13.21,13.33,13.13,13.30,980
2008/02/18,13.39,13.45,13.35,13.39,694
2008/02/19,13.47,13.57,13.46,13.54,729
2008/02/20,13.53,13.57,13.39,13.40,815
2008/02/21,13.41,13.48,13.40,13.46,1323
2008/02/22,13.44,13.47,13.33,13.47,756
2008/02/25,13.58,13.72,13.56,13.72,1184
2008/02/26,13.87,14.09,13.72,13.87,1444
2008/02/27,14.04,14.04,13.87,13.89,915
2008/02/29,13.92,14.03,13.80,14.01,925
2008/03/03,13.59,13.95,13.58,13.95,677
2008/03/04,13.94,14.15,13.93,14.13,888
2008/03/05,14.13,14.21,14.11,14.15,1242
2008/03/06,14.23,14.43,14.23,14.43,2234
2008/03/07,14.15,14.52,14.15,14.32,1493
2008/03/10,14.29,14.31,14.12,14.13,767
2008/03/11,14.15,14.15,13.92,14.12,588
2008/03/12,14.38,14.38,14.15,14.21,1021
2008/03/13,14.21,14.21,13.97,14.08,482
2008/03/14,14.06,14.14,13.84,13.94,966
2008/03/17,13.53,13.75,13.41,13.70,2207
2008/03/18,13.87,13.87,13.41,13.72,2745
2008/03/19,13.84,13.92,13.72,13.75,1050
2008/03/20,13.70,13.92,13.70,13.92,401
2008/03/21,14.09,14.14,14.04,14.14,1137
2008/03/24,14.94,14.95,14.46,14.60,4781
2008/03/25,14.60,14.66,14.43,14.55,2634
2008/03/26,14.55,14.66,14.52,14.55,2185
2008/03/27,14.43,14.55,14.29,14.30,961
2008/03/28,14.26,14.56,14.26,14.56,1250
2008/03/31,14.56,14.57,14.40,14.43,970
2008/04/01,14.43,14.49,14.40,14.40,778
2008/04/02,14.52,14.57,14.43,14.47,616
2008/04/03,14.44,14.46,14.42,14.43,651
2008/04/07,14.43,14.54,14.42,14.51,738
2008/04/08,14.51,14.54,14.46,14.49,797
2008/04/09,14.49,14.52,14.38,14.46,795
2008/04/10,14.40,14.60,14.40,14.57,1586
2008/04/11,14.60,14.81,14.59,14.70,2779
2008/04/14,14.70,14.84,14.60,14.81,1689
2008/04/15,14.81,14.91,14.81,14.86,1702
2008/04/16,14.92,15.17,14.92,15.13,2440
2008/04/17,15.27,15.28,15.17,15.18,4023
2008/04/18,15.18,15.18,14.94,15.08,1376
2008/04/21,15.12,15.20,15.05,15.05,1305
2008/04/22,14.94,15.13,14.94,15.11,1981
2008/04/23,15.00,15.09,14.95,15.05,1289
2008/04/24,15.05,15.15,15.00,15.05,1185
2008/04/25,15.05,15.19,15.05,15.08,2203
2008/04/28,15.11,15.17,15.00,15.14,1051
2008/04/29,15.18,15.18,15.00,15.00,1334
2008/04/30,14.94,15.00,14.86,14.89,876
2008/05/02,14.97,15.11,14.97,15.07,1121
2008/05/05,15.03,15.05,14.89,14.90,791
2008/05/06,14.89,14.89,14.80,14.86,377
2008/05/07,14.86,14.94,14.83,14.87,550
2008/05/08,14.87,14.87,14.77,14.86,292
2008/05/09,14.89,14.89,14.79,14.80,254
2008/05/12,14.18,14.77,14.18,14.74,899
2008/05/13,14.74,15.05,14.72,15.05,1082
2008/05/14,15.00,15.08,14.98,15.08,841
2008/05/15,15.10,15.31,15.10,15.26,2348
2008/05/16,15.28,15.51,15.28,15.33,2642
2008/05/19,15.37,15.56,15.37,15.56,2924
2008/05/20,15.68,15.68,15.16,15.33,2377
2008/05/21,15.16,15.28,15.05,15.22,624
2008/05/22,14.77,15.21,14.77,15.21,849
2008/05/23,15.17,15.17,14.92,14.94,455
2008/05/26,14.77,14.89,14.77,14.78,476
2008/05/27,14.80,14.94,14.77,14.79,450
2008/05/28,14.77,14.93,14.74,14.78,271
2008/05/29,14.79,14.81,14.61,14.69,776
2008/05/30,14.74,14.74,14.38,14.56,917
2008/06/02,14.57,14.57,14.42,14.50,793
2008/06/03,14.50,14.60,14.31,14.34,959
2008/06/04,14.33,14.40,14.30,14.38,540
2008/06/05,14.38,14.60,14.27,14.57,821
2008/06/06,14.72,14.72,14.61,14.66,350
2008/06/09,14.35,14.55,14.32,14.55,504
2008/06/10,14.49,14.49,14.16,14.18,863
2008/06/11,14.18,14.23,14.09,14.12,514
2008/06/12,13.92,13.92,13.48,13.53,1907
2008/06/13,13.63,13.69,13.39,13.48,1348
2008/06/16,13.58,13.69,13.54,13.66,531
2008/06/17,13.66,13.70,13.49,13.69,770
2008/06/18,13.67,13.75,13.62,13.70,212
2008/06/19,13.54,13.67,13.48,13.52,1517
2008/06/20,13.50,13.52,13.22,13.28,1515
2008/06/23,13.16,13.16,12.98,13.15,1232
