date,,,,close
2014/1/10,,,,15.03 
2014/1/13,,,,15.04 
2014/1/14,,,,15.04 
2014/1/15,,,,15.05 
2014/1/16,,,,15.06 
2014/1/17,,,,15.07 
2014/1/21,,,,15.07 
2014/1/22,,,,15.06 
2014/1/23,,,,15.05 
2014/1/24,,,,15.00 
2014/1/27,,,,14.97 
2014/1/28,,,,14.98 
2014/1/29,,,,14.97 
2014/1/30,,,,14.97 
2014/1/31,,,,14.86 
2014/2/3,,,,14.85 
2014/2/4,,,,14.85 
2014/2/5,,,,14.86 
2014/2/6,,,,14.89 
2014/2/7,,,,14.92 
2014/2/10,,,,14.93 
2014/2/11,,,,14.95 
2014/2/12,,,,14.96 
2014/2/13,,,,14.98 
2014/2/14,,,,15.00 
2014/2/18,,,,15.02 
2014/2/19,,,,15.02 
2014/2/20,,,,15.03 
2014/2/21,,,,15.06 
2014/2/24,,,,15.09 
2014/2/25,,,,15.11 
2014/2/26,,,,15.12 
2014/2/27,,,,15.14 
2014/2/28,,,,15.07 
2014/3/3,,,,15.05 
2014/3/4,,,,15.06 
2014/3/5,,,,15.08 
2014/3/6,,,,15.09 
2014/3/7,,,,15.07 
2014/3/10,,,,15.06 
2014/3/11,,,,15.06 
2014/3/12,,,,15.05 
2014/3/13,,,,15.06 
2014/3/14,,,,15.05 
2014/3/17,,,,15.06 
2014/3/18,,,,15.08 
2014/3/19,,,,15.07 
2014/3/20,,,,15.06 
2014/3/21,,,,15.08 
2014/3/24,,,,15.09 
2014/3/25,,,,15.10 
2014/3/26,,,,15.12 
2014/3/27,,,,15.14 
2014/3/28,,,,15.14 
2014/3/31,,,,15.07 
2014/4/1,,,,15.08 
2014/4/2,,,,15.08 
2014/4/3,,,,15.08 
2014/4/4,,,,15.12 
2014/4/7,,,,15.12 
2014/4/8,,,,15.13 
2014/4/9,,,,15.14 
2014/4/10,,,,15.15 
2014/4/11,,,,15.14 
2014/4/14,,,,15.14 
2014/4/15,,,,15.13 
2014/4/16,,,,15.14 
2014/4/17,,,,15.14 
2014/4/22,,,,15.14 
2014/4/23,,,,15.14 
2014/4/24,,,,15.15 
2014/4/25,,,,15.15 
2014/4/28,,,,15.16 
2014/4/29,,,,15.16 
2014/4/30,,,,15.08 
2014/5/2,,,,15.11 
2014/5/5,,,,15.11 
2014/5/6,,,,15.11 
2014/5/7,,,,15.14 
2014/5/8,,,,15.16 
2014/5/9,,,,15.16 
2014/5/12,,,,15.17 
2014/5/13,,,,15.18 
2014/5/14,,,,15.19 
2014/5/15,,,,15.18 
2014/5/16,,,,15.18 
2014/5/19,,,,15.18 
2014/5/20,,,,15.18 
2014/5/21,,,,15.18 
